Date,Average Cost,
2013.05.05,14.08,
2013.05.06,36.32,
2013.05.07,36.83,
2013.05.08,24.40,
2013.05.09,20.46,
2013.05.10,29.22,
2013.05.11,24.68,
2013.05.12,11.94,
2013.05.13,30.82,
2013.05.14,35.68,
2013.05.15,30.55,
2013.05.16,33.12,
2013.05.17,34.44,
2013.05.18,21.96,
2013.05.19,8.41,
2013.05.20,19.62,
2013.05.21,38.23,
2013.05.22,34.66,
2013.05.23,40.93,
2013.05.24,39.52,
2013.05.25,29.30,
2013.05.26,23.14,
2013.05.27,31.45,
2013.05.28,38.22,
2013.05.29,34.78,
2013.05.30,34.54,
2013.05.31,32.19,
2013.06.01,27.07,
2013.06.02,7.61,
2013.06.03,31.43,
2013.06.04,28.40,
2013.06.05,38.30,
2013.06.06,35.35,
2013.06.07,32.00,
2013.06.08,33.88,
2013.06.09,26.54,
2013.06.10,35.53,
2013.06.11,28.45,
2013.06.12,31.06,
2013.06.13,28.27,
2013.06.14,28.14,
2013.06.15,22.40,
2013.06.16,38.62,
2013.06.17,41.60,
2013.06.18,36.99,
2013.06.19,70.28,
2013.06.20,42.43,
2013.06.21,72.65,
2013.06.22,28.02,
2013.06.23,9.56,
2013.06.24,38.70,
2013.06.25,33.46,
2013.06.26,52.24,
2013.06.27,44.28,
2013.06.28,37.02,
2013.06.29,25.34,
2013.06.30,11.74,
2013.07.01,36.39,
2013.07.02,37.60,
2013.07.03,41.12,
2013.07.04,42.34,
2013.07.05,46.77,
2013.07.06,52.32,
2013.07.07,33.79,
2013.07.08,41.35,
2013.07.09,47.13,
2013.07.10,38.38,
2013.07.11,47.42,
2013.07.12,35.20,
2013.07.13,34.85,
2013.07.14,20.63,
2013.07.15,36.18,
2013.07.16,39.53,
2013.07.17,46.46,
2013.07.18,46.12,
2013.07.19,45.39,
2013.07.20,38.62,
2013.07.21,67.32,
2013.07.22,45.11,
2013.07.23,46.82,
2013.07.24,50.00,
2013.07.25,54.64,
2013.07.26,47.82,
2013.07.27,73.19,
2013.07.28,40.59,
2013.07.29,50.72,
2013.07.30,62.72,
2013.07.31,38.82,
2013.08.01,37.60,
2013.08.02,49.31,
2013.08.03,56.44,
2013.08.04,26.46,
2013.08.05,50.13,
2013.08.06,55.30,
2013.08.07,70.91,
2013.08.08,51.47,
2013.08.09,53.97,
2013.08.10,40.49,
2013.08.11,35.81,
2013.08.12,62.68,
2013.08.13,36.29,
2013.08.14,38.07,
2013.08.15,32.34,
2013.08.16,41.36,
2013.08.17,36.19,
2013.08.18,66.48,
2013.08.19,50.14,
2013.08.20,47.62,
2013.08.21,48.67,
2013.08.22,51.79,
2013.08.23,52.02,
2013.08.24,48.24,
2013.08.25,43.76,
2013.08.26,47.65,
2013.08.27,50.79,
2013.08.28,51.43,
2013.08.29,52.00,
2013.08.30,49.20,
2013.08.31,35.53,
2013.09.01,39.56,
2013.09.02,57.04,
2013.09.03,49.47,
2013.09.04,51.05,
2013.09.05,47.59,
2013.09.06,46.71,
2013.09.07,51.24,
2013.09.08,40.07,
2013.09.09,51.51,
2013.09.10,52.11,
2013.09.11,48.33,
2013.09.12,49.88,
2013.09.13,47.73,
2013.09.14,35.42,
2013.09.15,41.01,
2013.09.16,42.64,
2013.09.17,41.62,
2013.09.18,48.62,
2013.09.19,46.96,
2013.09.20,50.30,
2013.09.21,39.28,
